fold,equation,complexity,loss,score,equation_index,train_rmse,train_r2,train_mae,train_pearson_r,train_spearman_r,train_kendall_tau,train_top_k_accuracy_true,val_rmse,val_r2,val_mae,val_pearson_r,val_spearman_r,val_kendall_tau,val_top_k_accuracy_true
1,-inter_model_rmsd - (alphafold_interface_sasa + 1.6906716)*(turn_fraction - 3.4239752),9,1.6136571,0.015760374340254478,4,1.2702981780873646,0.2739296510649074,0.9858761266099718,0.5234207311253676,0.5341130203712946,0.3719340786779955,0.2,1.4221026229115066,0.11287731217695507,1.1280454817010095,0.3588286826728523,0.34620776714989393,0.23582974598435405,0.3
1,alphafold_distance_score - 4.577493*alphafold_interface_dG + 7.6519704,7,1.6653309,0.023674659207564036,3,1.2904771126779664,0.25067889636520835,1.0183435131111245,0.5011908295079734,0.5356485125864523,0.3739776725168856,0.1,1.617248073542601,-0.14729498812896602,1.2137251623390362,0.1981156929493355,0.2757193243366487,0.18690005200448806,0.3
1,8.18795 - 4.541484*alphafold_interface_dG,5,1.7460798,0.06873079748157425,2,1.3213932426142156,0.2143456594109614,1.0364437774903144,0.46297479353756377,0.5056446645632343,0.35266251352288086,0.1,1.6263423610530634,-0.16023445856020713,1.2209098961976141,0.1863911264431972,0.27797204422868893,0.19021892659614564,0.3
1,alphafold_interface_sasa + 5.802591,3,2.003378,0.05188837001345495,1,1.415407460785006,0.09857351899626432,1.1360453799891082,0.4470278400286133,0.46505104518863927,0.32136701252499433,0.1,1.4931997398671744,0.02195773525377931,1.20407665160504,0.27108626504601374,0.2459974240425824,0.1703056790462002,0.3
1,6.12630800000000,1,2.2224529,0.0,0,1.4907894980125656,-1.024991869158498e-09,1.2045094405216057,,,,0.0,1.5338147211116433,-0.03197128919566805,1.2447146763809895,,,,0.1
2,2.8063407*alphafold_interface_sasa + alphafold_peptide_plddt*(alphafold_ipsae_max*(hydrophobic_aa_percent + uHrel)**2 + turn_fraction*(alphafold_ipsae_min - 2.8005872)) - alphafold_rosetta_score + instability_index - intra_alphafold_mean_rmsd + 5.5802245,29,1.5825878,0.0025151978249476504,14,1.2580095582932194,0.2897206171175699,1.0100837307170858,0.5382998611822152,0.5265338228243924,0.3669327576683276,0.2,1.304430526043225,0.25861930300705316,0.9840537836940462,0.5251738369522955,0.5381995244866651,0.37446685855605727,0.1
2,2.7486856*alphafold_interface_sasa + alphafold_peptide_plddt*(alphafold_ipsae_max*(hydrophobic_aa_percent + uHrel)**2 + instability_index + turn_fraction*(alphafold_ipsae_min - 2.8592312)) - alphafold_rosetta_score + 5.559002,27,1.5905689,0.0018672547591774779,13,1.2611776835675104,0.28613862916104893,1.0056010123738475,0.5349257247083041,0.5278105599913949,0.36714660179311,0.2,1.2766343368282116,0.28987891227514195,0.962929839350545,0.5536538893066353,0.5769150383937675,0.4063242745517112,0.2
2,2.8112178*alphafold_interface_sasa + alphafold_peptide_plddt*(alphafold_ipsae_max*(hydrophobic_aa_percent + uHrel)**2 + instability_index - 2.3717175*turn_fraction) - alphafold_rosetta_score + 5.526815,25,1.59652,0.007284110789149286,12,1.2635347995412614,0.2834677502109406,1.006775961354102,0.5324711956170652,0.5282446661844399,0.3675505295843657,0.2,1.2754494179556952,0.29119651021445603,0.9636270512262335,0.5544914726652312,0.5792727689189142,0.4082205493133573,0.2
2,2.6348593*alphafold_interface_sasa + alphafold_peptide_plddt*(turn_fraction*(alphafold_ipsae_min - 2.974373) + (alphafold_ipsae_max + instability_index)*(hydrophobic_aa_percent + uHrel)) - alphafold_rosetta_score + 5.628935,23,1.6199487,0.0017600408707529323,11,1.2727721124427083,0.27295276207018104,1.0135964768215202,0.5225968937672926,0.5198644202714412,0.3610639244659656,0.1,1.2873362584113583,0.2779232353186477,0.9666252124223055,0.5434047604750263,0.5708103352523834,0.39911843045745615,0.2
2,2.7414806*alphafold_interface_sasa + alphafold_peptide_plddt*(-2.2924013*turn_fraction + (alphafold_ipsae_max + instability_index)*(hydrophobic_aa_percent + uHrel)) - alphafold_rosetta_score + 5.550142,21,1.6256611,0.005604851793470666,10,1.2750141925829723,0.27038901334381005,1.0139931627338956,0.5202711057676401,0.5186265737647752,0.36030358980007254,0.1,1.28140739294619,0.284559011492719,0.9640150437773748,0.5471969419603497,0.5743211916238901,0.4026265387665014,0.2
2,2.5522578*alphafold_interface_sasa + alphafold_iptm*instability_index*(-7.6698184*turn_fraction + uHrel + 3.6240182) - alphafold_rosetta_score + 5.3329806,19,1.6439868,0.003569163360183631,9,1.2821804812464754,0.26216432564896064,1.0209358245695266,0.5125733606159179,0.5101210135018034,0.35495748668051197,0.1,1.297366652835072,0.26662714879417937,0.9889263865791446,0.5291764505229195,0.5577456939668983,0.39162814514895417,0.2
2,2.7394226*alphafold_interface_sasa + alphafold_iptm*instability_index*(3.6240182 - 7.6698184*turn_fraction) - alphafold_rosetta_score + 5.3329806,17,1.6557641,0.012483810658527135,8,1.2867649560004268,0.25687858569983,1.0203102663105235,0.5071188893038443,0.5045090047915568,0.3515359806839932,0.1,1.30946445690648,0.25288613393985493,0.9938637360758927,0.5212708804511964,0.5549987834686053,0.38755115441141513,0.2
2,2.7394226*alphafold_interface_sasa - alphafold_rosetta_score + instability_index*(3.6240182 - 7.6698184*turn_fraction) + 5.3329806,15,1.697625,0.006999884884709882,7,1.3029293544691878,0.23809106910088917,1.0343906151471036,0.49135826066065547,0.4982987713016452,0.3460710752728869,0.1,1.3268344411906947,0.23293381213138165,1.0116869746600983,0.5038055368720933,0.5378041670536273,0.3749409272464688,0.2
2,2*alphafold_interface_sasa + (alphafold_ipsae_max - turn_fraction)*(alphafold_ipsae_max + uHrel) + 5.1190886,13,1.7215585,0.008758067543045735,6,1.3120818251948323,0.2273493639981895,1.046874485609377,0.4865253186073492,0.4814309412531191,0.33309786503608657,0.1,1.3128414599750382,0.24902767238477552,0.997301611318901,0.5151764652369353,0.5475995592877956,0.37958680041250165,0.1
2,2.50174202551592*alphafold_interface_sasa + alphafold_ipsae_max*alphafold_peptide_plddt - turn_fraction + 5.136047,11,1.7519792,0.0031676934084277574,5,1.3236237023956834,0.21369615734594605,1.048762748984595,0.4629887294628613,0.4636859107547809,0.3226670238383662,0.1,1.3084000576020183,0.25410022459275805,0.9975654718121952,0.5142041655341383,0.5481081701521723,0.3800608691029132,0.1
2,2.1212776*alphafold_interface_sasa + alphafold_ipsae_max - 2.1212776*turn_fraction + 5.4809246,9,1.7631139,0.01155288700069726,4,1.3278230311832693,0.2086989874747297,1.0493039935942416,0.4570367392898982,0.4720348712921311,0.3263736553345948,0.1,1.314090994312694,0.24759747339002658,1.0026336901394703,0.5155329977174392,0.5383038549203832,0.3738979761275635,0.2
2,2.5243206*alphafold_interface_sasa - 2.5243206*turn_fraction + 6.07397,7,1.8043263,0.030306131278234158,3,1.3432522728546625,0.1902023816951357,1.0590293441819887,0.4361219810647622,0.4403432178786758,0.3035636153578031,0.1,1.3428419857032767,0.21431368198844536,1.017977899591309,0.4831095345540352,0.4998917229323826,0.3452642272267078,0.2
2,3.0684469*alphafold_interface_sasa + 5.14692,5,1.917073,0.035567828357906825,2,1.384584215223799,0.13960063871408868,1.1038116281466843,0.37363168876227604,0.35037710762749175,0.24164386100413723,0.0,1.3676647308292331,0.1849980228696717,1.0464164272268703,0.4348400805579321,0.4696132464678137,0.32412076363435416,0.1
2,alphafold_interface_sasa + 5.7056274,3,2.0584128,0.039611490095298324,1,1.434717150442203,0.07616607439406586,1.1576458128980631,0.373631688762276,0.35037710762749175,0.24164386100413723,0.0,1.4449800346530237,0.09024791376648289,1.1272473001211616,0.4348400805579318,0.4696132464678137,0.32412076363435416,0.1
2,5.97570370000000,1,2.22812,0.0,0,1.4926890141711375,-1.1345813177854325e-11,1.2133052560507296,,,,0.0,1.5257543542400205,-0.014305086332487171,1.1931897376771199,,,,0.1
3,alphafold_distance_score + alphafold_interface_sasa - 0.38992336*alphafold_peptide_plddt + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm + 0.5327638*polar_aa_percent - turn_fraction) + 3.9452093,29,1.678945,3.371050987771314e-05,13,1.2957413082675735,0.2731784572682878,1.0098350266807874,0.5256171688778954,0.5363999375127425,0.37427525538310635,0.2,1.2281231465919822,0.29768027207140124,0.9952219021743627,0.5509890845379315,0.5583971016038838,0.38665532252486323,0.2
3,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_distance_score*polar_aa_percent**2 + alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 3.7502904,27,1.6790582,0.002422240408614768,12,1.2957847928275246,0.27312967276928135,1.0122961957754173,0.5231904396867315,0.5266015085757857,0.3672043109949253,0.2,1.2279669798154114,0.2978588731099153,0.9926878044029734,0.5472496171243917,0.552356562502709,0.3838791392237439,0.2
3,alphafold_distance_score + alphafold_interface_sasa + hydrophobic_aa_percent + 0.41354817*polar_aa_percent + (alphafold_interface_peptide_plddt + instability_index)*(alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 3.6934888,25,1.6872121,0.0014225434176691274,11,1.2989273959999734,0.26959971167267427,1.0127628689856325,0.5202842253552891,0.5262814891377978,0.366778635413028,0.2,1.2287953993406424,0.29691118700306707,0.9947692042695763,0.5479534851174443,0.5589765698999956,0.38895285353268616,0.2
