uniprot	fullName	uniProtkbId
P43405	Tyrosine-protein kinase SYK	KSYK_HUMAN
P46108	Adapter molecule crk	CRK_HUMAN
P46934	E3 ubiquitin-protein ligase NEDD4	NEDD4_HUMAN
P46940	Ras GTPase-activating-like protein IQGAP1	IQGA1_HUMAN
P48023	Tumor necrosis factor ligand superfamily member 6	TNFL6_HUMAN
P48960	Adhesion G protein-coupled receptor E5	AGRE5_HUMAN
P49768	Presenilin-1	PSN1_HUMAN
P51148	Ras-related protein Rab-5C	RAB5C_HUMAN
P51575	P2X purinoceptor 1	P2RX1_HUMAN
P51681	C-C chemokine receptor type 5	CCR5_HUMAN
P53618	Coatomer subunit beta	COPB_HUMAN
P54578	Ubiquitin carboxyl-terminal hydrolase 14	UBP14_HUMAN
P55160	Nck-associated protein 1-like	NCKPL_HUMAN
P57764	Gasdermin-D	GSDMD_HUMAN
P58753	Toll/interleukin-1 receptor domain-containing adapter protein	TIRAP_HUMAN
P60033	CD81 antigen	CD81_HUMAN
P60842	Eukaryotic initiation factor 4A-I	IF4A1_HUMAN
P60880	Synaptosomal-associated protein 25	SNP25_HUMAN
P60953	Cell division control protein 42 homolog	CDC42_HUMAN
P61018	Ras-related protein Rab-4B	RAB4B_HUMAN
P61020	Ras-related protein Rab-5B	RAB5B_HUMAN
P61077	Ubiquitin-conjugating enzyme E2 D3	UB2D3_HUMAN
P61224	Ras-related protein Rap-1b	RAP1B_HUMAN
P61586	Transforming protein RhoA	RHOA_HUMAN
P62834	Ras-related protein Rap-1A	RAP1A_HUMAN
P63000	Ras-related C3 botulinum toxin substrate 1	RAC1_HUMAN
P63027	Vesicle-associated membrane protein 2	VAMP2_HUMAN
P63165	Small ubiquitin-related modifier 1	SUMO1_HUMAN
P67809	Y-box-binding protein 1	YBOX1_HUMAN
P68104	Elongation factor 1-alpha 1	EF1A1_HUMAN
P78380	Oxidized low-density lipoprotein receptor 1	OLR1_HUMAN
P80511	Protein S100-A12	S10AC_HUMAN
P84095	Rho-related GTP-binding protein RhoG	RHOG_HUMAN
P98196	Phospholipid-transporting ATPase IH	AT11A_HUMAN
Q01113	Interleukin-9 receptor	IL9R_HUMAN
Q01518	Adenylyl cyclase-associated protein 1	CAP1_HUMAN
Q01628	Interferon-induced transmembrane protein 3	IFM3_HUMAN
Q01629	Interferon-induced transmembrane protein 2	IFM2_HUMAN
Q01638	Interleukin-1 receptor-like 1	ILRL1_HUMAN
Q02223	Tumor necrosis factor receptor superfamily member 17	TNR17_HUMAN
Q02413	Desmoglein-1	DSG1_HUMAN
Q03405	Urokinase plasminogen activator surface receptor	UPAR_HUMAN
Q05193	Dynamin-1	DYN1_HUMAN
Q05655	Protein kinase C delta type	KPCD_HUMAN
Q06187	Tyrosine-protein kinase BTK	BTK_HUMAN
Q07011	Tumor necrosis factor receptor superfamily member 9	TNR9_HUMAN
Q07065	Cytoskeleton-associated protein 4	CKAP4_HUMAN
Q08554	Desmocollin-1	DSC1_HUMAN
Q08722	Leukocyte surface antigen CD47	CD47_HUMAN
Q08ET2	Sialic acid-binding Ig-like lectin 14	SIG14_HUMAN
Q10588	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1_HUMAN
Q10589	Bone marrow stromal antigen 2	BST2_HUMAN
Q12846	Syntaxin-4	STX4_HUMAN
Q12913	Receptor-type tyrosine-protein phosphatase eta	PTPRJ_HUMAN
Q13261	Interleukin-15 receptor subunit alpha	I15RA_HUMAN
Q13277	Syntaxin-3	STX3_HUMAN
Q13303	Voltage-gated potassium channel subunit beta-2	KCAB2_HUMAN
Q13464	Rho-associated protein kinase 1	ROCK1_HUMAN
Q13546	Receptor-interacting serine/threonine-protein kinase 1	RIPK1_HUMAN
Q13557	Calcium/calmodulin-dependent protein kinase type II subunit delta	KCC2D_HUMAN
Q13651	Interleukin-10 receptor subunit alpha	I10R1_HUMAN
Q13835	Plakophilin-1	PKP1_HUMAN
Q14289	Protein-tyrosine kinase 2-beta	FAK2_HUMAN
Q14627	Interleukin-13 receptor subunit alpha-2	I13R2_HUMAN
Q15109	Advanced glycosylation end product-specific receptor	RAGE_HUMAN
Q15399	Toll-like receptor 1	TLR1_HUMAN
Q16581	C3a anaphylatoxin chemotactic receptor	C3AR_HUMAN
Q16623	Syntaxin-1A	STX1A_HUMAN
