uniprot	reactome	url	rxn_name	x	species	fullName	uniProtkbId
P05107	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Integrin beta-2	ITB2_HUMAN
P05107	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Integrin beta-2	ITB2_HUMAN
P05107	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Integrin beta-2	ITB2_HUMAN
P05109	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Protein S100-A8	S10A8_HUMAN
P05109	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Protein S100-A8	S10A8_HUMAN
P05120	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Plasminogen activator inhibitor 2	PAI2_HUMAN
P05156	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Complement factor I	CFAI_HUMAN
P05556	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Integrin beta-1	ITB1_HUMAN
P06239	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Tyrosine-protein kinase Lck	LCK_HUMAN
P06241	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Tyrosine-protein kinase Fyn	FYN_HUMAN
P06241	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	IEA	Homo sapiens	Tyrosine-protein kinase Fyn	FYN_HUMAN
P06702	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Protein S100-A9	S10A9_HUMAN
P06702	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Protein S100-A9	S10A9_HUMAN
P06756	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Integrin alpha-V	ITAV_HUMAN
P07237	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Protein disulfide-isomerase	PDIA1_HUMAN
P07333	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Macrophage colony-stimulating factor 1 receptor	CSF1R_HUMAN
P07339	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Cathepsin D	CATD_HUMAN
P07355	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Annexin A2	ANXA2_HUMAN
P07355	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Annexin A2	ANXA2_HUMAN
P07357	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Complement component C8 alpha chain	CO8A_HUMAN
